日期,期初本金余额,本期应收本金,本期应收利息,期末本金余额
2018/8/31,9313845107.02 ,79994535.51 ,21755605.05 ,9233850571.51 
2018/9/30,9233850571.51 ,113849364.93 ,38215895.38 ,9120001206.58 
2018/10/31,9120001206.58 ,114168537.40 ,37745206.71 ,9005832669.18 
2018/11/30,9005832669.18 ,114489035.25 ,37274172.81 ,8891343633.93 
2018/12/31,8891343633.93 ,114810865.84 ,36801805.96 ,8776532768.09 
2019/1/31,8776532768.09 ,115134034.86 ,36328100.96 ,8661398733.23 
2019/2/28,8661398733.23 ,115459287.91 ,35853062.96 ,8545939445.32 
2019/3/31,8545939445.32 ,115634916.39 ,35376733.40 ,8430304528.93 
2019/4/30,8430304528.93 ,115768827.11 ,34899460.69 ,8314535701.82 
2019/5/31,8314535701.82 ,115943398.99 ,34422153.88 ,8198592302.83 
2019/6/30,8198592302.83 ,115932157.67 ,33943265.34 ,8082660145.16 
2019/7/31,8082660145.16 ,116082918.96 ,33464852.60 ,7966577226.20 
2019/8/31,7966577226.20 ,116292980.53 ,32985929.68 ,7850284245.67 
2019/9/30,7850284245.67 ,116373154.33 ,32506059.41 ,7733911091.34 
2019/10/31,7733911091.34 ,116490535.35 ,32025833.41 ,7617420555.99 
2019/11/30,7617420555.99 ,116584618.99 ,31545079.70 ,7500835937.00 
2019/12/31,7500835937.00 ,116471932.77 ,31064181.60 ,7384364004.23 
2020/1/31,7384364004.23 ,116162771.27 ,30583736.55 ,7268201232.96 
2020/2/29,7268201232.96 ,114803746.80 ,30104104.31 ,7153397486.16 
2020/3/31,7153397486.16 ,114675677.97 ,29629931.69 ,7038721808.19 
2020/4/30,7038721808.19 ,114568881.83 ,29156608.08 ,6924152926.36 
2020/5/31,6924152926.36 ,113947074.34 ,28683058.71 ,6810205852.02 
2020/6/30,6810205852.02 ,113825899.57 ,28211808.21 ,6696379952.45 
2020/7/31,6696379952.45 ,113559923.91 ,27741622.88 ,6582820028.54 
2020/8/31,6582820028.54 ,113135513.42 ,27272096.88 ,6469684515.12 
2020/9/30,6469684515.12 ,112891667.99 ,26804115.21 ,6356792847.13 
2020/10/31,6356792847.13 ,112577123.24 ,26337677.22 ,6244215723.89 
2020/11/30,6244215723.89 ,112335272.54 ,25871360.13 ,6131880451.35 
2020/12/31,6131880451.35 ,112283289.85 ,25406651.40 ,6019597161.50 
2021/1/31,6019597161.50 ,112012316.41 ,24942148.65 ,5907584845.09 
2021/2/28,5907584845.09 ,111604618.20 ,24478402.26 ,5795980226.89 
2021/3/31,5795980226.89 ,111613715.59 ,24016499.16 ,5684366511.30 
2021/4/30,5684366511.30 ,111281083.77 ,23554733.77 ,5573085427.53 
2021/5/31,5573085427.53 ,110920765.51 ,23093983.14 ,5462164662.02 
2021/6/30,5462164662.02 ,110573978.57 ,22634664.48 ,5351590683.45 
2021/7/31,5351590683.45 ,110097768.24 ,22176556.73 ,5241492915.21 
2021/8/31,5241492915.21 ,109662332.35 ,21720375.91 ,5131830582.86 
2021/9/30,5131830582.86 ,109284455.48 ,21265873.56 ,5022546127.38 
2021/10/31,5022546127.38 ,109036578.60 ,20813195.86 ,4913509548.78 
2021/11/30,4913509548.78 ,108668601.60 ,20361346.38 ,4804840947.18 
2021/12/31,4804840947.18 ,108173228.61 ,19910876.19 ,4696667718.57 
2022/1/31,4696667718.57 ,107647276.34 ,19462862.05 ,4589020442.23 
2022/2/28,4589020442.23 ,106925359.77 ,19017223.79 ,4482095082.46 
2022/3/31,4482095082.46 ,106468754.29 ,18574034.15 ,4375626328.17 
2022/4/30,4375626328.17 ,105962275.38 ,18133444.10 ,4269664052.79 
2022/5/31,4269664052.79 ,105435201.20 ,17694709.59 ,4164228851.59 
2022/6/30,4164228851.59 ,104702588.60 ,17257949.38 ,4059526262.99 
2022/7/31,4059526262.99 ,103800308.83 ,16824108.29 ,3955725954.16 
2022/8/31,3955725954.16 ,103112322.05 ,16394642.58 ,3852613632.11 
2022/9/30,3852613632.11 ,102107558.39 ,15966522.04 ,3750506073.72 
2022/10/31,3750506073.72 ,101337835.82 ,15544219.93 ,3649168237.90 
2022/11/30,3649168237.90 ,100587882.88 ,15123596.86 ,3548580355.02 
2022/12/31,3548580355.02 ,99955771.67 ,14706683.66 ,3448624583.35 
2023/1/31,3448624583.35 ,99305386.09 ,14292153.48 ,3349319197.26 
2023/2/28,3349319197.26 ,98185612.92 ,13880460.96 ,3251133584.34 
2023/3/31,3251133584.34 ,97511936.75 ,13473969.41 ,3153621647.59 
2023/4/30,3153621647.59 ,96602278.18 ,13069874.95 ,3057019369.41 
2023/5/31,3057019369.41 ,95629416.62 ,12669029.16 ,2961389952.79 
2023/6/30,2961389952.79 ,94529306.01 ,12272564.85 ,2866860646.78 
2023/7/31,2866860646.78 ,93633938.44 ,11881076.72 ,2773226708.34 
2023/8/31,2773226708.34 ,92701920.04 ,11492436.20 ,2680524788.30 
2023/9/30,2680524788.30 ,91306801.39 ,11107739.96 ,2589217986.91 
2023/10/31,2589217986.91 ,89902062.90 ,10729566.68 ,2499315924.01 
2023/11/30,2499315924.01 ,88969895.25 ,10355821.98 ,2410346028.76 
2023/12/31,2410346028.76 ,88257340.38 ,9986458.94 ,2322088688.38 
2024/1/31,2322088688.38 ,87494338.65 ,9620563.48 ,2234594349.73 
2024/2/29,2234594349.73 ,85462955.05 ,9257424.50 ,2149131394.68 
2024/3/31,2149131394.68 ,84397939.53 ,8903045.45 ,2064733455.15 
2024/4/30,2064733455.15 ,82829162.09 ,8552920.12 ,1981904293.06 
2024/5/31,1981904293.06 ,81204304.91 ,8209446.35 ,1900699988.15 
2024/6/30,1900699988.15 ,80131497.20 ,7872560.26 ,1820568490.95 
2024/7/31,1820568490.95 ,79075108.34 ,7540185.78 ,1741493382.61 
2024/8/31,1741493382.61 ,77757042.25 ,7213133.63 ,1663736340.36 
2024/9/30,1663736340.36 ,76755279.94 ,6891362.53 ,1586981060.42 
2024/10/31,1586981060.42 ,75520903.40 ,6574731.87 ,1511460157.02 
2024/11/30,1511460157.02 ,74366963.73 ,6262891.82 ,1437093193.29 
2024/12/31,1437093193.29 ,72687875.71 ,5956441.67 ,1364405317.58 
2025/1/31,1364405317.58 ,71011458.46 ,5657402.15 ,1293393859.12 
2025/2/28,1293393859.12 ,68178197.34 ,5364103.95 ,1225215661.78 
2025/3/31,1225215661.78 ,66397603.68 ,5084226.52 ,1158818058.10 
2025/4/30,1158818058.10 ,64477545.72 ,4811130.53 ,1094340512.38 
2025/5/31,1094340512.38 ,62160837.36 ,4545868.00 ,1032179675.02 
2025/6/30,1032179675.02 ,60192454.78 ,4289715.71 ,971987220.24 
2025/7/31,971987220.24 ,58272094.75 ,4041839.57 ,913715125.49 
2025/8/31,913715125.49 ,55641267.75 ,3801329.76 ,858073857.74 
2025/9/30,858073857.74 ,53761630.75 ,3571812.26 ,804312226.99 
2025/10/31,804312226.99 ,51956967.13 ,3350244.54 ,752355259.86 
2025/11/30,752355259.86 ,50711065.33 ,3135386.35 ,701644194.53 
2025/12/31,701644194.53 ,48875060.82 ,2925511.10 ,652769133.71 
2026/1/31,652769133.71 ,47216490.35 ,2723531.48 ,605552643.36 
2026/2/28,605552643.36 ,44919928.35 ,2528096.75 ,560632715.01 
2026/3/31,560632715.01 ,43867847.27 ,2342774.21 ,516764867.74 
2026/4/30,516764867.74 ,41811692.33 ,2161330.40 ,474953175.41 
2026/5/31,474953175.41 ,40037435.20 ,1988637.28 ,434915740.21 
2026/6/30,434915740.21 ,37885974.16 ,1822119.33 ,397029766.05 
2026/7/31,397029766.05 ,35817785.91 ,1664146.07 ,361211980.14 
2026/8/31,361211980.14 ,34035261.62 ,1515075.26 ,327176718.52 
2026/9/30,327176718.52 ,32506367.39 ,1373020.88 ,294670351.13 
2026/10/31,294670351.13 ,31005956.49 ,1237822.86 ,263664394.64 
2026/11/30,263664394.64 ,29785682.29 ,1108371.02 ,233878712.35 
2026/12/31,233878712.35 ,28293684.07 ,982841.28 ,205585028.28 
